"180" "заг. біонеорган. та фізкол. хімії" "вольтметр" "ВЧ-20" "" "1977" "1978" "10" "42" "незадов." "-"
"181" "заг. біонеорган. та фізкол. хімії" "центрифуга" "ОПН-3" "8281" "1978" "1979" "10" "41" "незадов." "-"
"182" "заг. біонеорган. та фізкол. хімії" "потенціометр самоп." "" "133668" "1980" "1980" "10" "40" "незадов." "-"
"183" "заг. біонеорган. та фізкол. хімії" "термостат" "ТПС" "226" "1980" "1981" "10" "39" "задов." "-"
"184" "заг. біонеорган. та фізкол. хімії" "прилад д,струшув." "" "б,н" "1980" "1980" "10" "40" "задов." "-"
"185" "заг. біонеорган. та фізкол. хімії" "фотоколориметр" "КФК-2" "136477" "1980" "1981" "10" "39" "задов." "-"
"185" "заг. біонеорган. та фізкол. хімії" "фотоколориметр" "КФК-2" "136477" "1980" "1981" "10" "39" "задов." "-"
"186" "заг. біонеорган. та фізкол. хімії" "термостат" "ТПС" "" "1982" "1982" "10" "38" "задов." "-"
"187" "заг. біонеорган. та фізкол. хімії" "іономір" "2В-74" "133737" "1982" "1982" "10" "38" "задов." "-"
"188" "заг. біонеорган. та фізкол. хімії" "фотоелектроколоримет" "КФК-2" "831126" "1983" "1983" "10" "37" "задов." "-"
"189" "заг. біонеорган. та фізкол. хімії" "фотоелектроколоримет" "" "8310962" "1984" "1984" "10" "36" "задов." "-"
"190" "заг. біонеорган. та фізкол. хімії" "хроматограф газовий" "" "424" "1984" "1985" "10" "35" "задов." "-"
"191" "заг. біонеорган. та фізкол. хімії" "хроматограф" "Цвет" "691" "1984" "1985" "10" "35" "задов." "-"
"192" "заг. біонеорган. та фізкол. хімії" "гігром. кулонометр" "Байкал" "1335192" "1986" "1986" "10" "34" "незадов." "-"
"193" "заг. біонеорган. та фізкол. хімії" "прилад д,ел. форезу" "ПЕФ-3" "1322791335192" "1987" "1987" "10" "33" "задов." "-"
"194" "заг. біонеорган. та фізкол. хімії" "мікроколориметр" "" "29" "1988" "1989" "10" "31" "задов." "-"
"195" "заг. біонеорган. та фізкол. хімії" "фотоелектроколоримет" "КФК-2" "890022" "1988" "1989" "10" "31" "задов." "-"
"196" "заг. біонеорган. та фізкол. хімії" "фотоелектроколоримет" "КФК-2" "901186" "1988" "1989" "10" "31" "задов." "-"
"197" "заг. біонеорган. та фізкол. хімії" "спектрофотометр" "СФ-46" "901186" "1991" "1991" "10" "29" "задов." "-"
"197" "заг. біонеорган. та фізкол. хімії" "спектрофотометр" "СФ-46" "901186" "1991" "1991" "10" "29" "задов." "-"
"198" "заг. біонеорган. та фізкол. хімії" "іономір" "У-В-О" "б,н" "1992" "1992" "10" "28" "задов." "-"
"199" "заг. біонеорган. та фізкол. хімії" "колориметр" "КФК-2" "б,н" "1992" "1992" "10" "28" "задов." "-"
"200" "заг. біонеорган. та фізкол. хімії" "РН-метр" "220" "9776" "1992" "1992" "10" "28" "задов." "-"
"201" "заг. біонеорган. та фізкол. хімії" "РН-метр" "2-1" "2210" "1992" "1992" "10" "28" "задов." "-"
"202" "заг. біонеорган. та фізкол. хімії" "РН-метр" "" "0217" "2001" "2001" "10" "19" "задов." "-"
"203" "заг. біонеорган. та фізкол. хімії" "РН-метр" "" "0459" "2001" "2001" "10" "19" "задов." "-"
"204" "заг. біонеорган. та фізкол. хімії" "РН-метр" "" "0562" "2001" "2001" "10" "19" "задов." "-"
"205" "заг. біонеорган. та фізкол. хімії" "РН-метр" "" "0846" "2001" "2001" "10" "19" "задов." "-"
